№,Наименование организации,,ИНН,Юридический адрес,Ф.И.О. руководителя,Контакты,Основной вид деятельности (ОКЕД),код ОКЕД,№ лицензии,Дата выдачи лицензии,срок действии лицензии,Вид лицензируемой деятельности,№ лицензионного соглашения,Дата лицензионного соглашения,Наименование лицензируемых работ,Причина переоформления или отзыва  лицензии,Форма собственности,Область,Район,Населенный пункт
734,MODERN ENGINEERING DESIGN INVEST,OOO,302609955,"Андижон вилояти, Асака шахри, Умид кўчаси, блок Б",Умирзакова Мухабат  ,+99890 384-07-21,,,,,,,,,,,,Андижон,,Асака шахри
735,EKO JOYBARMODERN QURILIS,OOO ,302665832,,Палуанов А.,,,,,,,,,,,,,,,
736,TERMIZ TA'MIR LOYIHA,OOO ,302726225,"Сурхандарё вилояти, Термиз шахри, Тараққиёт кўчаси, 36",Ширалиев Р. ,+99893 799-15-59 8-376 221-49-85,,,,,,,,,,,,Сурхондарё,,Термиз шахар
737,PROYEKTNAYA MASTERSKAYA TAXTAGANOV,ЧП,207186676,"Тошкени шаҳри, А.Темур кўчаси, 31",Тахтаганов Р.З. ,2561948 Raf_proekt@mail.ru,,,,,,,,,,,,,,Тошкент шаҳар
738,MUKAMMAL PROEKT,МЧЖ,302699323,"Фарғона вилояти, Фарғона шаҳри, Б.Марғилогий кўчаси, 71",М. Мамадалиев ,,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
739,Таъмирлойиҳа, МЧЖ,200472974,"Сурхондарё вилояти, Термиз шаҳри, Т.Мирзаев кўчаси, 57-уй",Эрданов Х.,,,,,,,,,,,,,Сурхондарё,,Термиз шахар
740,CHILONZOR ARCH PROJECT,МЧЖ,207196514,"Тошкент шаҳри, Чилонзор тумани, 5-46/73",Пулатов Р.Х. ,500-90-68 387-89-67,,,,,,,,,,,,,Чилонзор,Тошкент шаҳар
741,ASU – ENGINEERING,МЧЖ,204429255,"Тошкент шаҳар, М.Риёзий кўчаси, 42-уй",Вожаков В.А. ,246-04-63 +998903166780,,,,,,,,,,,,,,Тошкент шаҳар
742,Сифат Политехника,илмий маслахат фирма,204096846,"Фарғона вилоят, Фарғона шаҳар, Фарғона кўчаси, 99-уй",Давлятов М ,998905312453 +998936450045,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
743,GRAND STROY PROEKT,МЧЖ,207196309,"Тошкент шаҳар, А.Қодирий кўчаси, 7А-уй",Буронов Ф.М. ,,,,,,,,,,,,,,,Тошкент шаҳар
744,INNOVATION PROJECT,МЧЖ,207197124,"Тошкент шаҳри, Навоий кўчаси, 44-уй",Убайдуллаева Д.Ф. ,,,,,,,,,,,,,,,Тошкент шаҳар
745,SARDOBA DIZAYN QURILISH,ХК,302183364,"Қашқадарё вилояти, Бешкент ш. М.Рахмонов кўчаси, 5-уй",Мухаммадиев Б.,,,,,,,,,,,,,Қашқадарё,,Бешкент шаҳар
746,FARG’ONA LOYIHA QURILISH TA’MIRLASH,МЧЖ,302720542,"Фарғона вилояти, Фарғона шаҳри, Оқ-Ариқ кўчаси, 52 ",Собирова М.,,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
747,FERGHANA GABLE SERVICE,МЧЖ,302653903,"Фарғона вилояти, Фарғона шаҳри, Шодиева кўчаси, 325",Джалилов Б.,,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
748,LOYIHA STRUKTURA,МЧЖ,302792937,"Тошкент шаҳри, Ҳамза тумани, М.Риёзий мавзеси 15-уй, 33-хонадон ",И.Рахманов,269-48-27 +99893 389-00-81,,,,,,,,,,,,,Яшнаобод,Тошкент шаҳар
749,ROAD INVEST GROUP,МЧЖ,302793302,"100118, Тошкент ш. Чилонзор тумани, Қирққиз кўчаси, 10-уй",Абдулазиз Абдушукуров Исмоил Аброр ,+99890 168-51-17 +99871 271-40-10 +99899 848-40-02 +99894 611-92-75,,,,,,,,,,,,,Чилонзор,Тошкент шаҳар
750,QURILISH INDUSTRIYA XAJMLI UY-JOY,МЧЖ,203951147,"Тошкент шаҳри, А.Навоий кўчаси, 16а",У.Р. Валиджанов ,244-86-48 244-86-48,,,,,,,,,,,,,,Тошкент шаҳар
751,PROJECT ENGINEERING GROUP, МЧЖ,302701984,"Бухоро шаҳар, С.Айний кўчаси, 3а  ",Г.Ю. Муродов ,8365 223-98-68,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
752,BUXORO” mintaqaviy temir yo’l uzelini shu’ba korxonasi, shu’ba korxona,204293127,"Бухоро вилояти, Когон шаҳар, Зебинисо кўчаси, 2",У.С. Астанов,,,,,,,,,,,,,Бухоро,,Когон шаҳар
753,ARCHITECTURE STYLE DESIGN,МЧЖ,207194833,"Тошкент шаҳар, Мирзо Улуғбек туман, Ш.Бурхонов кўчаси, 22а",Х.А. Алимов,,,,,,,,,,,,,,Мирзо Улуғбек,Тошкент шаҳар
754,QURILISH ELEKTROMONTAJ AVTOMATIKA,МЧЖ,301018655,"Тошкент шаҳар, Чилонзор тумани, Сугалли ота кўчаси, 3",С.С. Ниязов ,120-07-23 907-19-86,,,,,,,,,,,,,Чилонзор,Тошкент шаҳар
755,CHINA RAILWAY TUNNEL GROUP CO. LTD,доимий муассаса,207190467,"Тошкент шаҳар, Усмон Носир кўчаси, 12","Жоу Сиао Гуанг, Мақсид ака","255-38-61 , +998711507136",,,,,,,,,,,,,,Тошкент шаҳар
756,GOLD STEP INVEST,МЧЖ,302699236,"Тошкент шахар, Миробод тумани, Таллимаржон кўчаси, 14",Зикруллаев С.С.  Помошник Фаррух , 235-57-08 +99898 306-00-08  +99894 630-20-20 ,,,,,,,,,,,,,Миробод,Тошкент шаҳар
757,MAXSUS KON LOYIHA,МЧЖ,207199905,"Тошкент шахар, Миробод тумани, Чимкент кўчаси, 14-уй, 3-қават",Балаев А.Г.,,,,,,,,,,,,,,Миробод,Тошкент шаҳар
758,SALOMAT-SAVDO-SERVIS,МЧЖ,300434005,"Тошкент вилояти, Пискент шаҳри, Фарход кўчаси, 30",Мирзахмедова Ж. ,+998955156975 +998909938524,,,,,,,,,,,,Тошкент,,Пискент шаҳар
759,NAVOIY ARXITEKTURA SERVIS,МЧЖ,301871134,"Навоий вилояти, Навоий шаҳри, Меъморлар кўчаси, 8",Ф. Расулов ,8436 224-08-88,,,,,,,,,,,,Навоий,,Навоий шаҳар
760,ELEKTR QURILISH LOYIHA, МЧЖ,302434770,"705013, Бухоро шаҳри, Саноатчилар кўчаси, 1/1",Райимов Р.П. ,(365) 2254366 +998914445084 (365) 2254366,,,,,,,,,,,,,,Бухоро шаҳар
761,ULTRA GROUP, МЧЖ,207207205,"160100, Наманган вилояти, Наманган шаҳри, Н. Намангоний кўчаси, 18 ",Кучкаров Ш. ,,,,,,,,,,,,,Наманган,,Наманган шаҳар
762,Хасан-газ-сув қурилиш,ХФ,300871024,"Тошкент вилояти, Оққўрғон шаҳри, Охунбобоев кўчаси, ",Яралиев М.Н., +998901289961 +998955133504,,,,,,,,,,,,Тошкент,,Оққўрғон шаҳар
763,TOTAL DESIGN SERVICE, МЧЖ,207197053,"100100, Тошкент шаҳри, Яккасарой тумани, Аския кўчаси, 29",Загратдинов Р.Ш., 2805811 2536278 ф,,,,,,,,,,,,,Яккасарой,Тошкент шаҳар
764,IDEAL PROJECT, МЧЖ,302846701,"Тошкент шаҳри, Шайхонтохур тумани, Навоий кўчаси, 10",Тошниёзов О.Х, www.idealproject.uz,,,,,,,,,,,,,Шайхонтохур,Тошкент шаҳар
765,QASHQADARYO GAZ SANOAT FUQARO LOYIHA, МЧЖ,302816263,"180100, Қашқадарё вилояти, Қарши шаҳри, Қавали маҳалласи, Соғлом авлод, 6/18",Тагаев У.Д,. +998916385010 +998914651170 +998916436190,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
766,YANGIYER-GOLDEN-PROJECT,ХК,302663692,"Сирдарё вилояти, Янгиер шаҳри, Фарход кўчаси, 19/9",Самадов З. ,,,,,,,,,,,,,Сирдарё,,Янгиер шаҳар
767,PURE SASH, МЧЖ,207158884,"Тошкент шаҳри, Шайхонтохур тумани, А.Навоий кўчаси, 30",Сидиков Садриддин Ибрахимович ,+99894 670-46-02,,,,,,,,,,,,,Шайхонтохур,Тошкент шаҳар
768,TELECON ENGINEERING, МЧЖ,302484339,"Сирдарё вилояти, Гулистон шаҳри, Ахматова кўчаси, 49 ",Мирахурова А.Н., +998712550951,,,,,,,,,,,,Сирдарё,,Гулистон шаҳар
769,GAZ INTER SERVICE, МЧЖ,207169277,"100015, Тошкент шаҳри, Чехова кўчаси, 32",Тигай С.В. Ибодулла ака, 968-00-33 147-08-07 147-08-04 ф,,,,,,,,,,,,,,Тошкент шаҳар
770,ДАТС-2,ХК,202597120,"Фарғона вилояти, Қўқон шаҳри, Бирлик кўчаси, 54",Яхъяев А ,+998903610707,,,,,,,,,,,,Фарғона,,Қўқон шахар
771,XORAZM LOYIHA ME'MOR,МЧЖ,302809359,"Хоразм вилояти, Урганч шаҳри, Лочин кўчаси, 19/1",Палванова Л. ,8 362 225-37-49 +998914229756,,,,,,,,,,,,Хоразм,,Урганч шаҳар
772,ARX DAVRON, МЧЖ,302623204,"Хоразм вилояти, Урганч шаҳри, 3-микрорайон, 6-уй  36-хонадон",Матюсупов Д. ,+998914229756 +998905794018,,,,,,,,,,,,Хоразм,,Урганч шаҳар
773,INFRANET ASIA, МЧЖ,302419424,"Тошкент шаҳри, Юнусобод тумани, Арифова кўчаси, 17",Мамбетов Л.М.,,,,,,,,,,,,,,Юнусобод,Тошкент шаҳар
774,INDUSTRIAL TECHNO CONSULT, МЧЖ,302868895,"100000, Тошкент шаҳри, МирзоУлугбек тумани, Олой кўчаси, 23",Абдукаюмов Д. ,2332819 2331779 2330119 2321463,,,,,,,,,,,,,МирзоУлугбек,Тошкент шаҳар
775,JIZZAX BUNYODKOR LOYIHA, МЧЖ,302885962,"Жиззах вилоят, Жиззах шахри, Ш.Рашидов кўчаси, 63 уй","Исаев Акбар, Жўрабоев Орифжон Султонович "," +99898 561-45-54 0372 226-62-02 , +99898 561-47-75",,,,,,,,,,,,Жиззах,,Жиззах шахри
776,IMPULS LOYIHA, МЧЖ,302799071,"Хоразм вилояти, Урганч шаҳри, А.Боходирхон кўчаси, 212",Джуманиязова З.С,,,,,,,,,,,,,Хоразм,,Урганч шаҳар
777,FIRUZ SAMARKAND PLAN, МЧЖ,302714865,"Самарқанд шаҳри, Мирзо Улуғбек кўчаси, 35",Муминов Б,,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
778,NUR, МЧЖ,200034560,"Навоий вилояти, Кармана тумани, Фарход кўчаси 30/10-1",Файзиев М ,,,,,,,,,,,,,Навоий,Кармана,
779,UNITED PROJECT, МЧЖ,302870024,"Тошкент шаҳри, Бешоғайнилар кўчаси, 41","Мансуров Р, Алимов Ботир Баходирович ",+99893 180-47-03 237-38-05,,,,,,,,,,,,,,Тошкент шаҳар
780,XORAZM ZARINA QURILISH SERVIS, МЧЖ,302779681,"Хоразм вилояти, Ургенч шаҳри, Наман кучаси, 37/3",Матчанов Р.К.,,,,,,,,,,,,,Хоразм,,Урганч шаҳар
781,ANYROAD ENGINEERING, МЧЖ,207201094,"100123, Тошкент шаҳри, Мустақиллик шох кўчаси, 68",Абдурахманов М. Г., +99893 528-88-51,,,,,,,,,,,,,,Тошкент шаҳар
782,ZAMONAVIY YO'L LOYIHA, МЧЖ,302788125,"Тошкент шаҳри, Мустақиллик кўчаси, 68-А",Хадиев Ф.,,,,,,,,,,,,,,,Тошкент шаҳар
783,ANGREN ME'MOR, МЧЖ,301564033,"110200, Тошкент вилояти, Ангрен шаҳри, Гулистон кўчаси, 77",Калкулов Абдугаппар Эрматович ,+99894 665-30-40 8370 662-11-20,,,,,,,,,,,,Тошкент,,Ангрен шаҳар
784,YANGIBOZOR LOYIHA,ЧП,302866352,"111912, Тошкент вилояти, Юқори чирчиқ тумани, Янгибозор қўрғони",Аширов Б.,,,,,,,,,,,,,Тошкент,Юқори чирчиқ,Янгибозор қўрғони
785,АНДИЖОНЭНЕРГОКУРИЛИШ, МЧЖ,205833078,"Андижон вилояти, Андижон шаҳри, А.Юлдашева кўчаси, 35","Салиев Абдурасул, Тохир ака","+99890 544-71-31,  +99890 545-25-25",,,,,,,,,,,,Андижон,,Андижон шаҳар
786,KONSTANT PROEKT, МЧЖ,302840726,"Самарқанд вилояти, Самарқанд шаҳри, Мир Саид Барака кўчаси, 34",Халикулов М.,,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
787,PROJECTS DEVELOPMENT GROUP, МЧЖ,207176751,"Тошкент шаҳри, А. Темур кўчаси, 107-уй",Адилов Ф.,,,,,,,,,,,,,,,Тошкент шаҳар
788,FERGANA KORAL PROEKT,ХК,302979496,"Фарғона вилояти, Фарғона шаҳри, С. Темур кўчаси, 57б/42 уй",Тешабоев,,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
789,ETALON PROJECT, МЧЖ,303019914,"Тошкент шаҳри, Фарход кўчаси, 6а",Саидов И.Т.,,,,,,,,,,,,,,,Тошкент шаҳар
790,PROSPERITY GROUP BUSINESS, МЧЖ,302476592,"Тошкент шаҳри, Чилонзор тумани, 16-массив, 28/1 уй",Сарбаев Х.Х.,,,,,,,,,,,,,,Чилонзор,Тошкент шаҳар
791,MASTER LOYIHA QURILISH, МЧЖ,302981377,"Хоразм вилояти, Урганч шаҳри, Ал-Хоразмий кўчаси, 23-уй",Саидов М.Р.,,,,,,,,,,,,,Хоразм,,Урганч шаҳар
792,XIVANAQSHI, МЧЖ,302823414,"Хоразм вилояти, Хива шаҳри, А. Болтаев кўчаси, 67-уй",О. Абдуллаев,,,,,,,,,,,,,Хоразм,,Хива шаҳар
793,GLOBAL ROAD PROJECT, МЧЖ,302791717,"Тошкент шаҳри, Юнусобод тумани, А. Темур шох 1-тор кўчаси, 6-уй ",Эшонкулов Б., +99890 925-70-08,,,,,,,,,,,,,Юнусобод,Тошкент шаҳар
794,MEGA PLAN STROY PROEKT, МЧЖ,303034287,"Бухоро вилояти, Ғиждувон шаҳри, Ю. Хамаданий кўчаси, 178",Пулатов Тахир Маликович, +99891 407-08-00,,,,,,,,,,,,Бухоро,,Ғиждувон шаҳар
795,ARX PROEKT PROGRESS, МЧЖ,303035809,"Бухоро вилояти, Бухоро шаҳри, Гузал кўчаси, 51",Нуридинов Р. ,+99890 636-35-00,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
796,FARG'ONA OMAD ISHONCH LOYIHA, МЧЖ,302706036,"Фарғона вилояти, Фарғона шаҳри, Б.Марғилоний кўчаси, 62",Дадажонов Равшан Қўшоқбоевич Дилшод ака,"+99891 119-65-57 +99895 404-78-74, +99890 580-61-16",,,,,,,,,,,,Фарғона,,Фарғона шаҳар
797,MARG'ILON INTEGRAL LOYIHA, МЧЖ,302191387,"151100, Фарғона вилояти, Марғилон шаҳри, С. Марғилоний кўчаси, 99",Юсупов Х.,,,,,,,,,,,,,Фарғона,,Марғилон шаҳар
798,SURXON ARX PROEKT,ХК,302946782,"Сурхондарё вилояти, Термиз шаҳри, М.Қаххор кўчаси, 14",Киличев Э.О. ,+99894 203 88-83 +99891 581-25-54,,,,,,,,,,,,Сурхондарё,,Термиз шахар
799,1-сон комплекс лойиха қурилиш ва монтаж корхонаси,қурилиш ва монтаж,204850106,"Қашқадарё вилояти, Қарши шаҳри, М.Уйғур кўчаси, 35",Салямов З.С., 8375 225-71-79,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
800,WORLEYPARSONS UZBEKISTAN ENGINEERING,МЧЖ ҚК,207117602,"Тошкент шаҳар, Мустакиллик кўчаси, 66",Хайдаров У.,,,,,,,,,,,,,,,Тошкент шаҳар
801,QASHQADARYO MAXSUS SUV LOYIHA, МЧЖ,303018069,"Қашқадарё вилояти, Қарши шаҳри, Насав кўчаси",Сохибов А. ,+9890 425-25-66,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
802,AMU-SURXON-LOYIHA,МЧЖ,302834258,"Сурхондарё вилояти, Термиз шаҳри, М.Қаххор кўчаси, 19",Намозов А. ,,,,,,,,,,,,,Сурхондарё,,Термиз шахар
803,TASHKENT PROFESSIONAL PROJECT, МЧЖ,303040565,"Тошкент шаҳри, Шаҳрисабз кўчаси, 16а",Дуланаев У.С. ,256-81-66 факс/тел +99891 775-47-11 tashproproject@mail.ru,,,,,,,,,,,,,,Тошкент шаҳар
804,SAMOIY NUR LOYIHA,МЧЖ,302992560,"Тошкент ш. Локомотив кўч, 10",Хусанов О.М., +99890 991-96-93 +99890 320-57-36,,,,,,,,,,,,,,Тошкент шаҳар
805,AVTOBAN QURILISH,МЧЖ,205866979,"Тошкент шаҳри, Темур Малик кўчаси, 3А",Тошмуродов У.Ж., +99890 939-32-23,,,,,,,,,,,,,,Тошкент шаҳар
806,ARX IDEAL PROEKT, МЧЖ,303075592,"Тошкент шахри, Чилонзор тумани, 23-6-73",Ражапов Б. ,,,,,,,,,,,,,,,Тошкент шаҳар
807,MAXSUS YAGONA LOYIHA,МЧЖ,303043839,"Бухоро вилояти, Шофиркон шаҳри, Мустақиллик кўчаси, 2 ",Худойбердиев Ихтиёр Равшан ўғли, 0-365-502-48-84 +998912449804,,,,,,,,,,,,Бухоро,,Шофиркон шаҳар
808,NEW ARCH,МЧЖ,303061738,"Бухоро вилояти, Бухоро шаҳри, Афросиёб кўчаси, 222",Қурбонов А. ,+998936574422,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
